uc_id,mean_ring_veg,veg_group
1,421.9291115311909,low_veg
1000,1052.430056710775,high_veg
10001,1013.6068052930057,high_veg
10003,1034.2939508506615,high_veg
10005,895.2778827977315,low_veg
10006,1245.906427221172,high_veg
10007,774.2873345935727,low_veg
10008,1150.2570888468808,high_veg
10011,828.5888468809073,low_veg
10015,764.8374291115312,low_veg
10017,547.8034026465028,low_veg
10019,982.7731568998109,high_veg
10021,857.805293005671,low_veg
10022,741.015122873346,low_veg
10023,1075.4782608695652,high_veg
10025,859.9347826086956,low_veg
10027,1048.6871455576559,high_veg
10028,686.7627599243856,low_veg
10029,1032.6266540642723,high_veg
10033,838.0160680529301,low_veg
10037,860.5973534971645,low_veg
10039,727.6625708884688,low_veg
10041,980.3081285444234,high_veg
10043,902.804347826087,high_veg
10049,814.1030245746692,low_veg
1005,228.08506616257088,low_veg
10050,968.8034026465028,high_veg
10051,1104.3846880907372,high_veg
10052,926.3317580340265,high_veg
10053,1074.694706994329,high_veg
10056,760.7485822306238,low_veg
1006,528.9971644612476,low_veg
10060,1104.3336483931946,high_veg
10061,661.7665406427221,low_veg
10063,791.7249527410208,low_veg
10064,865.7930056710775,low_veg
10067,790.9839319470699,low_veg
10068,895.3156899810964,low_veg
10069,632.8166351606806,low_veg
10071,897.5378071833649,low_veg
10072,785.4158790170133,low_veg
10073,1159.7381852551985,high_veg
10074,866.9517958412098,low_veg
10075,1015.3298676748582,high_veg
10076,551.6238185255198,low_veg
10077,786.0349716446125,low_veg
10079,906.9933837429112,high_veg
10085,867.6748582230624,low_veg
10091,1025.2126654064273,high_veg
10093,967.8809073724008,high_veg
10095,244.4328922495274,low_veg
10098,447.27693761814743,low_veg
10099,1372.3553875236296,high_veg
101,1018.796786389414,high_veg
1010,556.0085066162571,low_veg
10101,1052.7277882797732,high_veg
10102,791.0689981096408,low_veg
10103,1005.1086956521739,high_veg
10104,674.5264650283553,low_veg
10105,702.4574669187145,low_veg
10106,992.695652173913,high_veg
10107,833.3081285444234,low_veg
10109,782.148393194707,low_veg
10110,770.0803402646503,low_veg
10111,540.0463137996219,low_veg
10112,606.9017013232515,low_veg
10113,371.51984877126654,low_veg
10114,836.148393194707,low_veg
10115,1005.6833648393194,high_veg
1012,607.2258979206049,low_veg
10122,842.8525519848771,low_veg
10123,677.7145557655955,low_veg
10125,1105.594517958412,high_veg
10127,1337.8081285444234,high_veg
10129,964.4196597353497,high_veg
1013,1085.343100189036,high_veg
10131,1525.8620037807184,high_veg
10132,1047.0463137996219,high_veg
10135,723.8534971644613,low_veg
10138,738.3062381852552,low_veg
10141,820.0586011342155,low_veg
10143,1409.6625708884687,high_veg
10144,692.4886578449906,low_veg
10147,823.4669187145557,low_veg
10149,631.9943289224952,low_veg
1015,1027.274102079395,high_veg
10151,782.6550094517959,low_veg
10153,633.4782608695652,low_veg
10157,908.7533081285444,high_veg
10159,775.8657844990548,low_veg
1016,711.2741020793951,low_veg
10160,923.8005671077505,high_veg
10161,985.9177693761815,high_veg
10162,911.5028355387524,high_veg
10163,367.8497164461248,low_veg
10164,861.0028355387524,low_veg
10166,848.1654064272212,low_veg
10169,994.0387523629489,high_veg
10171,921.0293005671077,high_veg
10173,745.8459357277883,low_veg
10176,979.8147448015122,high_veg
10177,615.6011342155009,low_veg
10179,732.0879017013233,low_veg
10180,967.5586011342155,high_veg
10181,792.6049149338374,low_veg
10183,842.5066162570888,low_veg
10185,850.7183364839319,low_veg
10189,1077.1304347826087,high_veg
1019,848.0888468809073,low_veg
10190,1078.9366729678638,high_veg
10191,856.1266540642722,low_veg
10193,854.1805293005671,low_veg
10194,550.7939508506616,low_veg
10195,937.694706994329,high_veg
10197,845.3478260869565,low_veg
10199,1681.0756143667297,high_veg
102,821.9366729678638,low_veg
10201,727.2750472589792,low_veg
10203,523.9706994328923,low_veg
10204,1062.4792060491493,high_veg
10207,930.6011342155009,high_veg
10208,1058.7448015122873,high_veg
10209,340.57939508506615,low_veg
1021,814.6427221172023,low_veg
10210,964.4168241965973,high_veg
10211,1013.890359168242,high_veg
10213,726.7296786389414,low_veg
10215,884.4820415879017,low_veg
10217,964.0586011342155,high_veg
1022,640.694706994329,low_veg
10220,943.2211720226843,high_veg
10221,804.7712665406427,low_veg
10222,756.3648393194707,low_veg
10223,340.98771266540643,low_veg
10224,1106.3015122873346,high_veg
10227,1054.7466918714556,high_veg
10228,838.4603024574669,low_veg
10229,1344.1918714555766,high_veg
10231,804.9347826086956,low_veg
10233,805.4168241965973,low_veg
10235,920.5652173913044,high_veg
10237,1198.2551984877127,high_veg
10239,1168.6313799621928,high_veg
10241,813.2684310018903,low_veg
10242,548.3147448015122,low_veg
10243,794.5519848771266,low_veg
10244,911.437618147448,high_veg
10249,943.9697542533081,high_veg
1025,1047.6758034026466,high_veg
10252,885.6701323251418,low_veg
10253,987.133270321361,high_veg
10255,821.0056710775048,low_veg
